Gender,Age,AgeGrp,PoliticalParty,PoliticalView,Education,Race,ApproveTrump,InformedClimateOpinion
Male,60,55-64,Strong Republican,Strong Conservative,Some college,White,Strongly Approve,Well-informed
Male,52,45-54,Independent,Moderate,Some college,White,Somewhat Disapprove,DK/REF
Female,42,35-44,Not Very strong Democrat,Moderate,Some college,White,Somewhat Approve,Not Very Well-informed
Male,49,45-54,Strong Democrat,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Female,21,18-24,Strong Democrat,Not Very Strong Conservative,High school or less,Latino,Strongly Disapprove,Not Very Well-informed
Other,43,35-44,Independent,Moderate,College degree,Other: SPECIFY,Somewhat Disapprove,Well-informed
Female,34,25-34,DK/REF,Strong Liberal,Graduate degree,Latino,Strongly Disapprove,Well-informed
Male,50,45-54,Strong Democrat,Not Very Strong Conservative,College degree,Black,DK/REF,Not Very Well-informed
Female,58,55-64,DK/REF,DK/REF,Some college,White,DK/REF,Not Very Well-informed
Male,52,45-54,Strong Democrat,Strong Liberal,College degree,White,Strongly Disapprove,Well-informed
Male,76,65+,Strong Republican,Strong Conservative,Graduate degree,White,Strongly Approve,Well-informed
Female,58,55-64,Strong Democrat,Moderate,High school or less,Black,DK/REF,Not Very Well-informed
Female,73,65+,Strong Democrat,Moderate,College degree,White,Strongly Disapprove,Well-informed
Female,72,65+,Independent,Moderate,Graduate degree,White,Somewhat Disapprove,Well-informed
Female,84,65+,Strong Republican,Not Very Strong Conservative,High school or less,White,Strongly Approve,Well-informed
Male,59,55-64,Independent,Moderate,College degree,White,Strongly Approve,Not Very Well-informed
Male,69,65+,Strong Democrat,Strong Liberal,Graduate degree,White,Strongly Disapprove,Well-informed
Female,95,65+,Strong Democrat,Not Very Strong Liberal,Graduate degree,White,DK/REF,Well-informed
Other,40,35-44,Independent,DK/REF,Graduate degree,DK/REF,Strongly Disapprove,Well-informed
Female,77,65+,DK/REF,Not Very Strong Conservative,Some college,White,Strongly Disapprove,Not Very Well-informed
Male,71,65+,Independent,Not Very Strong Liberal,Graduate degree,White,Strongly Approve,Well-informed
Female,64,55-64,Independent,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Female,78,65+,Independent,Moderate,High school or less,White,Strongly Approve,Well-informed
Male,86,65+,Independent,DK/REF,High school or less,White,Strongly Approve,Well-informed
Male,80,65+,Strong Republican,Strong Conservative,High school or less,White,Strongly Approve,Well-informed
Female,62,55-64,Strong Republican,Strong Conservative,Some college,White,Strongly Approve,Not Very Well-informed
Female,67,65+,Independent,Not Very Strong Liberal,Some college,White,Strongly Disapprove,Well-informed
Male,83,65+,Independent,DK/REF,High school or less,White,Somewhat Approve,Well-informed
Female,75,65+,Strong Democrat,Moderate,High school or less,Asian,Strongly Disapprove,Not Very Well-informed
Female,79,65+,DK/REF,Moderate,High school or less,White,Strongly Approve,Well-informed
Female,74,65+,Independent,Moderate,College degree,White,Strongly Disapprove,Well-informed
Male,71,65+,Strong Democrat,Not Very Strong Liberal,Graduate degree,White,Strongly Disapprove,Well-informed
Male,77,65+,Strong Democrat,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Male,71,65+,Independent,Moderate,High school or less,Black,Strongly Disapprove,Well-informed
Male,65,65+,Strong Republican,Not Very Strong Conservative,College degree,White,Somewhat Approve,Not Very Well-informed
Male,43,35-44,Independent,Moderate,College degree,White,Strongly Disapprove,Well-informed
Female,70,65+,Strong Republican,Strong Conservative,College degree,White,Strongly Approve,Well-informed
Female,83,65+,Strong Republican,Strong Conservative,Graduate degree,White,Strongly Approve,Well-informed
Female,63,55-64,Strong Democrat,Strong Liberal,Some college,White,Strongly Disapprove,Well-informed
Female,82,65+,Not Very strong Democrat,Moderate,Some college,White,Somewhat Disapprove,DK/REF
Male,49,45-54,Strong Republican,Strong Conservative,College degree,White,Strongly Approve,Well-informed
Female,70,65+,Strong Democrat,Moderate,Some college,White,Strongly Disapprove,Well-informed
Male,57,55-64,Independent,Strong Liberal,Graduate degree,DK/REF,Somewhat Approve,Well-informed
Male,66,65+,Independent,Moderate,Graduate degree,White,Somewhat Disapprove,Well-informed
Female,72,65+,DK/REF,DK/REF,College degree,White,DK/REF,Not Very Well-informed
Female,85,65+,DK/REF,Not Very Strong Conservative,High school or less,White,Somewhat Disapprove,Not Very Well-informed
Male,65,65+,DK/REF,Strong Conservative,College degree,White,Strongly Approve,Well-informed
Female,60,55-64,Strong Democrat,Moderate,Some college,White,Strongly Disapprove,Well-informed
Female,76,65+,Strong Democrat,Strong Liberal,Graduate degree,Black,Strongly Disapprove,Well-informed
Female,61,55-64,Not very Strong Republican,Moderate,College degree,White,DK/REF,Not Very Well-informed
Other,77,65+,Independent,Moderate,High school or less,White,Strongly Disapprove,Not Very Well-informed
Female,83,65+,Strong Democrat,DK/REF,Graduate degree,White,Strongly Disapprove,Well-informed
Male,60,55-64,Independent,Moderate,Some college,White,Strongly Approve,Well-informed
Female,68,65+,Strong Democrat,Moderate,College degree,White,Strongly Disapprove,Well-informed
Female,55,55-64,Strong Republican,Strong Conservative,College degree,Latino,Strongly Approve,Well-informed
Female,72,65+,Not Very strong Democrat,Strong Liberal,Graduate degree,White,DK/REF,Well-informed
Female,63,55-64,Independent,Moderate,Graduate degree,White,Neither approve nor disapprove,Not Very Well-informed
Female,60,55-64,Strong Democrat,Strong Liberal,College degree,White,Strongly Disapprove,Not Very Well-informed
Female,58,55-64,Strong Democrat,Moderate,Some college,Black,Neither approve nor disapprove,Well-informed
Female,55,55-64,Strong Republican,Strong Conservative,Graduate degree,White,Strongly Approve,Well-informed
Female,81,65+,Independent,Moderate,Graduate degree,White,Neither approve nor disapprove,Well-informed
Female,75,65+,Strong Democrat,Strong Liberal,High school or less,Black,Strongly Disapprove,Well-informed
Female,89,65+,Strong Democrat,Moderate,Some college,Black,Strongly Disapprove,Well-informed
Male,73,65+,Independent,Strong Conservative,Some college,White,Somewhat Approve,Well-informed
Male,54,45-54,DK/REF,DK/REF,Graduate degree,Black,Somewhat Approve,Well-informed
Male,64,55-64,Independent,Strong Conservative,Graduate degree,White,Strongly Approve,Well-informed
Male,69,65+,Strong Democrat,Strong Liberal,College degree,White,Strongly Disapprove,Well-informed
Female,75,65+,Strong Republican,Moderate,High school or less,White,Neither approve nor disapprove,Well-informed
Female,67,65+,Independent,Moderate,Graduate degree,White,Strongly Disapprove,Not Very Well-informed
Female,82,65+,Strong Republican,Moderate,High school or less,White,Neither approve nor disapprove,Not Very Well-informed
Female,75,65+,Strong Republican,Strong Conservative,Some college,White,Strongly Approve,Well-informed
Female,52,45-54,Independent,Not Very Strong Liberal,College degree,White,Neither approve nor disapprove,Well-informed
Female,78,65+,Strong Republican,Strong Conservative,High school or less,White,Strongly Approve,Well-informed
Female,80,65+,Independent,Moderate,High school or less,White,Strongly Approve,Well-informed
Male,57,55-64,Strong Republican,Moderate,College degree,White,Somewhat Approve,Not Very Well-informed
Female,71,65+,Independent,Strong Conservative,Some college,White,Strongly Approve,Not Very Well-informed
Female,67,65+,Strong Democrat,Strong Liberal,Graduate degree,White,Strongly Disapprove,Well-informed
Female,79,65+,Strong Democrat,Moderate,High school or less,Black,Strongly Disapprove,Not Very Well-informed
Male,78,65+,DK/REF,Moderate,Some college,White,Strongly Approve,Well-informed
Female,56,55-64,DK/REF,Not Very Strong Liberal,College degree,White,Somewhat Disapprove,Well-informed
Male,80,65+,Independent,Strong Conservative,High school or less,White,Somewhat Approve,Well-informed
Female,66,65+,Strong Republican,Strong Conservative,Some college,White,Neither approve nor disapprove,Not Very Well-informed
Male,69,65+,Not very Strong Republican,Strong Conservative,College degree,White,Somewhat Approve,Well-informed
Female,55,55-64,Not Very strong Democrat,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Female,55,55-64,Strong Republican,Strong Conservative,High school or less,White,Strongly Approve,Not Very Well-informed
Female,67,65+,Strong Republican,Strong Conservative,Some college,White,Strongly Approve,Not Very Well-informed
Female,68,65+,Strong Democrat,Strong Liberal,Graduate degree,Black,Strongly Disapprove,Well-informed
Male,83,65+,Independent,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Female,69,65+,Strong Democrat,Not Very Strong Liberal,Graduate degree,White,Strongly Disapprove,Well-informed
Male,78,65+,Independent,Not Very Strong Conservative,High school or less,White,Somewhat Approve,Well-informed
Female,67,65+,Not Very strong Democrat,Moderate,College degree,White,Somewhat Disapprove,Well-informed
Female,69,65+,Strong Democrat,Not Very Strong Liberal,Graduate degree,White,Strongly Disapprove,Well-informed
Female,70,65+,Strong Democrat,Strong Liberal,High school or less,White,Strongly Disapprove,Well-informed
Female,83,65+,Independent,Moderate,Graduate degree,DK/REF,Strongly Disapprove,Not Very Well-informed
Male,67,65+,Strong Democrat,Strong Conservative,High school or less,White,Somewhat Approve,Not Very Well-informed
Male,86,65+,Strong Democrat,Moderate,High school or less,White,DK/REF,Well-informed
Male,50,45-54,Independent,Moderate,Some college,White,Somewhat Approve,Not Very Well-informed
Female,77,65+,Strong Republican,Strong Liberal,High school or less,Black,Somewhat Approve,Well-informed
Female,75,65+,Not very Strong Republican,Moderate,Some college,White,Strongly Approve,Not Very Well-informed
Female,83,65+,Independent,Not Very Strong Liberal,Some college,White,Strongly Disapprove,Well-informed
Female,70,65+,Independent,Not Very Strong Conservative,College degree,White,Strongly Approve,Well-informed
Female,79,65+,Strong Democrat,Moderate,DK/REF,White,Strongly Disapprove,Not Very Well-informed
Female,70,65+,Independent,Moderate,Some college,White,Strongly Disapprove,Well-informed
Male,44,35-44,DK/REF,DK/REF,High school or less,Black,DK/REF,Well-informed
Other,65,65+,DK/REF,Strong Liberal,Graduate degree,Black,Strongly Approve,Not Very Well-informed
DK/REF,82,65+,DK/REF,Strong Conservative,High school or less,White,DK/REF,Not Very Well-informed
Male,64,55-64,Strong Republican,Strong Conservative,College degree,White,Neither approve nor disapprove,Well-informed
Male,83,65+,Strong Democrat,Moderate,College degree,White,Strongly Disapprove,Well-informed
Female,74,65+,Strong Republican,Strong Conservative,High school or less,White,Strongly Approve,Not Very Well-informed
Female,77,65+,Strong Republican,Moderate,Graduate degree,White,Strongly Approve,Well-informed
Male,21,18-24,DK/REF,Strong Liberal,Some college,Latino,Strongly Disapprove,Not Very Well-informed
Male,49,45-54,Strong Democrat,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Female,51,45-54,Strong Republican,Strong Conservative,Some college,White,Somewhat Approve,Not Very Well-informed
Female,75,65+,DK/REF,Moderate,Some college,White,Strongly Approve,DK/REF
Female,60,55-64,Strong Democrat,Moderate,College degree,White,Strongly Disapprove,Well-informed
Male,70,65+,Independent,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Male,62,55-64,Independent,Moderate,High school or less,White,Neither approve nor disapprove,Well-informed
Male,60,55-64,Strong Democrat,Moderate,College degree,White,Strongly Disapprove,Well-informed
Female,61,55-64,Strong Republican,Strong Conservative,Graduate degree,White,Strongly Approve,Well-informed
Male,66,65+,DK/REF,Strong Conservative,College degree,White,Strongly Approve,Well-informed
Male,78,65+,Strong Democrat,Strong Liberal,Some college,White,Somewhat Disapprove,Well-informed
Male,56,55-64,Not very Strong Republican,Moderate,College degree,White,Strongly Approve,Well-informed
Male,34,25-34,Independent,Moderate,College degree,White,Strongly Disapprove,Well-informed
Female,62,55-64,Independent,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Female,23,18-24,Strong Democrat,Strong Liberal,College degree,Black,Strongly Disapprove,Well-informed
Female,47,45-54,Strong Republican,Moderate,College degree,White,DK/REF,Not Very Well-informed
Male,27,25-34,Strong Democrat,Strong Liberal,Graduate degree,White,Strongly Disapprove,Well-informed
Male,59,55-64,Strong Republican,Moderate,College degree,White,Somewhat Approve,Not Very Well-informed
Male,73,65+,Independent,Moderate,High school or less,White,Strongly Disapprove,Well-informed
Male,67,65+,Not Very strong Democrat,Moderate,College degree,White,Somewhat Approve,Not Very Well-informed
Male,49,45-54,Not Very strong Democrat,Not Very Strong Liberal,Some college,Latino,Neither approve nor disapprove,Well-informed
Male,50,45-54,Independent,Not Very Strong Liberal,Graduate degree,White,Strongly Disapprove,Well-informed
Female,71,65+,Independent,Moderate,Graduate degree,White,Somewhat Disapprove,Not Very Well-informed
Female,79,65+,Strong Democrat,Moderate,Some college,White,Strongly Approve,Well-informed
Female,62,55-64,Strong Democrat,Moderate,College degree,Black,Strongly Disapprove,Not Very Well-informed
Female,70,65+,DK/REF,DK/REF,High school or less,White,Strongly Disapprove,Well-informed
Male,72,65+,Independent,Moderate,Graduate degree,Black,Somewhat Disapprove,Well-informed
Female,77,65+,Strong Republican,Strong Conservative,High school or less,DK/REF,Strongly Approve,Well-informed
Male,57,55-64,DK/REF,DK/REF,Graduate degree,White,Strongly Disapprove,Not Very Well-informed
Male,45,45-54,Independent,Strong Conservative,High school or less,White,Strongly Approve,Well-informed
Female,62,55-64,Independent,Moderate,High school or less,White,Strongly Approve,Well-informed
Female,59,55-64,Independent,Moderate,High school or less,White,Strongly Approve,Well-informed
Female,64,55-64,Strong Democrat,Moderate,DK/REF,White,Strongly Disapprove,Well-informed
Female,62,55-64,Strong Democrat,Strong Liberal,College degree,White,Strongly Disapprove,Well-informed
Female,71,65+,Strong Democrat,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Male,52,45-54,Not very Strong Republican,Strong Conservative,High school or less,White,Somewhat Approve,Not Very Well-informed
Female,91,65+,Strong Republican,Strong Conservative,College degree,White,Strongly Approve,Not Very Well-informed
Female,80,65+,Independent,Moderate,Graduate degree,White,Neither approve nor disapprove,Well-informed
Female,47,45-54,Independent,Moderate,Graduate degree,White,Strongly Approve,Well-informed
DK/REF,55,55-64,Independent,Strong Conservative,College degree,Black,Strongly Approve,Well-informed
Male,59,55-64,Strong Republican,Strong Conservative,High school or less,White,Somewhat Disapprove,Well-informed
Female,53,45-54,Strong Republican,Strong Conservative,Graduate degree,White,Strongly Approve,Well-informed
Male,61,55-64,Strong Democrat,Strong Conservative,College degree,White,Strongly Disapprove,Well-informed
Female,48,45-54,Strong Democrat,Moderate,College degree,Black,Strongly Disapprove,Not Very Well-informed
Female,85,65+,DK/REF,Moderate,High school or less,White,Strongly Disapprove,Not Very Well-informed
Male,92,65+,DK/REF,Moderate,High school or less,Black,Strongly Disapprove,Not Very Well-informed
Other,45,45-54,Independent,Moderate,High school or less,Black,Somewhat Approve,Not Very Well-informed
Male,76,65+,DK/REF,Strong Conservative,Graduate degree,White,Strongly Approve,Well-informed
Female,67,65+,Not Very strong Democrat,Not Very Strong Liberal,Graduate degree,White,Strongly Disapprove,Well-informed
Male,22,18-24,Strong Republican,Strong Conservative,College degree,Latino,Somewhat Approve,Well-informed
Male,43,35-44,Independent,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Male,62,55-64,Strong Democrat,Strong Liberal,High school or less,White,DK/REF,Well-informed
Male,78,65+,Strong Republican,Strong Conservative,College degree,White,Strongly Approve,Well-informed
Female,65,65+,Strong Democrat,Moderate,College degree,White,Strongly Disapprove,Well-informed
Female,37,35-44,Independent,Not Very Strong Liberal,College degree,White,Strongly Disapprove,Well-informed
Female,72,65+,Strong Democrat,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Female,67,65+,Independent,Moderate,Some college,White,Strongly Approve,Not Very Well-informed
Female,70,65+,Strong Republican,Strong Conservative,Some college,White,Strongly Approve,Well-informed
Female,43,35-44,Strong Democrat,Not Very Strong Liberal,College degree,Black,Strongly Disapprove,Well-informed
Male,62,55-64,Independent,DK/REF,Graduate degree,White,Strongly Approve,Well-informed
Female,66,65+,DK/REF,Moderate,Graduate degree,White,Strongly Disapprove,Well-informed
Male,36,35-44,Independent,Strong Liberal,College degree,White,Strongly Disapprove,Not Very Well-informed
Male,81,65+,Independent,Strong Conservative,Graduate degree,White,Somewhat Approve,Well-informed
Female,50,45-54,Independent,Moderate,College degree,Latino,Strongly Disapprove,Well-informed
Female,49,45-54,Not Very strong Democrat,Moderate,College degree,Latino,Neither approve nor disapprove,Well-informed
Female,51,45-54,Strong Democrat,Moderate,College degree,Black,Strongly Disapprove,Not Very Well-informed
Female,44,35-44,Strong Republican,Strong Liberal,Some college,White,Strongly Approve,DK/REF
Male,62,55-64,Strong Republican,Strong Conservative,High school or less,White,Strongly Approve,Well-informed
